timestamp, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], pcie.link.gen.current
2026/08/08 09:02:52.201, 13.07 W, 31, 360 MHz, 21 %, 1
2026/08/08 09:02:53.214, 13.00 W, 31, 345 MHz, 23 %, 1
2026/08/08 09:02:54.214, 12.71 W, 31, 315 MHz, 18 %, 1
2026/08/08 09:02:55.214, 12.57 W, 31, 300 MHz, 16 %, 1
2026/08/08 09:02:56.215, 12.40 W, 31, 300 MHz, 18 %, 1
2026/08/08 09:02:57.215, 12.38 W, 31, 315 MHz, 19 %, 1
2026/08/08 09:02:58.215, 13.01 W, 31, 465 MHz, 27 %, 1
2026/08/08 09:02:59.215, 13.48 W, 31, 465 MHz, 27 %, 1
2026/08/08 09:03:00.215, 13.56 W, 31, 465 MHz, 28 %, 1
2026/08/08 09:03:01.215, 13.16 W, 31, 450 MHz, 29 %, 1
2026/08/08 09:03:02.216, 13.15 W, 31, 450 MHz, 27 %, 1
2026/08/08 09:03:03.216, 12.79 W, 31, 420 MHz, 22 %, 1
2026/08/08 09:03:04.216, 12.48 W, 31, 360 MHz, 17 %, 1
2026/08/08 09:03:05.216, 12.45 W, 31, 330 MHz, 18 %, 1
2026/08/08 09:03:06.216, 12.57 W, 31, 315 MHz, 18 %, 1
2026/08/08 09:03:07.216, 12.73 W, 31, 315 MHz, 18 %, 1
2026/08/08 09:03:08.216, 12.67 W, 31, 315 MHz, 18 %, 1
2026/08/08 09:03:09.216, 12.88 W, 31, 330 MHz, 17 %, 1
2026/08/08 09:03:10.216, 12.70 W, 31, 315 MHz, 17 %, 1
2026/08/08 09:03:11.216, 12.84 W, 31, 300 MHz, 17 %, 1
2026/08/08 09:03:12.217, 12.99 W, 31, 330 MHz, 18 %, 1
2026/08/08 09:03:13.217, 12.71 W, 31, 330 MHz, 18 %, 1
2026/08/08 09:03:14.217, 12.67 W, 31, 315 MHz, 18 %, 1
2026/08/08 09:03:15.217, 12.44 W, 31, 300 MHz, 18 %, 1
2026/08/08 09:03:16.217, 12.52 W, 31, 315 MHz, 19 %, 1
